19.629,618.841,617.289,616.818,613.503,644.651,614.337,601.3,582.201,585.958,586.79,587.171,583.098,580.46,589.473,604.852,545.522,537.271,556.398,554.576,569.921,610.507,626.342,16.675
18.086,750.053,514.362,514.948,579.38,602.169,575.166,556.445,655.345,550.921,632.087,590.042,562.197,635.529,663.884,642.258,507.444,559.674,462.37,567.786,562.845,617.464,593.651,22.493
17.899,645.057,622.012,2229.015,567.833,571.107,583.515,566.066,590.054,555.322,578.163,546.525,632.829,511.9,595.916,554.462,564.471,509.072,552.808,2022.763,556.499,563.635,547.017,19.501
19.753,615.443,681.354,548.222,608.529,576.725,622.045,607.463,629.672,574.124,642.58,609.98,492.867,488.689,612.011,562.502,633.942,539.228,506.174,489.767,519.437,514.446,536.084,20.884
21.726,573.181,370.969,2182.653,564.422,562.064,606.773,533.868,571.545,544.049,572.204,517.313,595.657,515.51,574.857,547.312,603.805,519.34,477.124,2136.277,606.232,569.479,506.236,20.995
18.437,663.063,613.508,605.902,494.904,663.283,516.928,589.901,583.118,625.472,622.223,619.78,577.611,544.341,534.301,612.434,543.353,545.307,521.275,566.182,566.953,556.06,606.406,19.906
31.93,595.431,577.683,2221.389,546.038,558.054,629.091,532.419,566.64,536.823,651.911,519.693,558.747,513.96,605.434,521.94,508.591,499.059,605.172,2149.076,650.9,569.214,592.655,21.11
20.307,522.597,703.838,577.9,578.839,587.166,658.101,530.471,555.16,551.94,623.44,607.11,547.105,553.394,607.519,573.836,595.037,556.894,585.672,570.488,486.589,542.314,627.46,19.061
18.43,585.644,633.387,2160.672,564.141,543.669,574.617,529.505,565.269,518.04,616.989,520.244,578.388,485.866,587.446,511.954,550.005,496.196,580.84,1973.369,585.59,597.991,631.922,18.532
22.178,616.541,505.377,533.239,451.314,642.953,748.962,578.387,550.687,505.418,594.541,547.187,579.068,475.827,576.406,616.731,567.799,567.852,615.848,608.438,607.854,643.689,592.169,21.355
19.352,603.448,628.423,2100.486,560.117,561.726,648.504,545.678,627.741,507.517,553.156,519.97,646.206,522.98,488.974,509.92,585.2,488.037,635.167,2008.642,527.461,559.999,579.246,19.035
19.438,652.927,725.386,616.652,581.873,613.97,592.316,509.078,646.459,568.733,610.577,501.684,551.768,602.668,545.755,478.034,574.391,523.231,563.414,480.364,610.401,549.769,619.109,21.168
20.367,604.408,532.677,2187.871,592.041,556.718,614.311,526.52,568.817,518.738,508.29,504.314,565.31,495.093,481.341,507.565,524.999,472.912,507.917,1980.957,461.992,534.287,673.227,20.501
28.258,432.626,569.928,539.093,641.038,526.546,636.511,523.598,637,551.282,676.647,468.161,579.305,504.553,603.965,544.046,471.303,555.064,625.379,524.976,526.253,639.129,610.138,17.934
21.294,622.623,583.703,2187.726,618.817,597.896,510.898,555.056,583.956,567.728,519.891,565.894,635.976,556.45,624.093,559.808,648.575,525.321,611.407,2018.927,493.553,576.027,593.722,17.719
18.911,708.207,701.629,677.099,672.231,661.386,648.668,622.752,617.368,622.464,645.755,661.046,619.414,620.206,608.475,645.148,591.298,619.4,612.381,607.735,577.07,628.997,618.642,23.259
